epoch_week,board_id,n_people,n_answers,n_first_time,n_returning,mean,sd,p10,p90,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9
2026-W32,abortion-legal-perception,2,2,2,0,0.4705,0.2977,0.3021,0.6389,0,0,1,0,0,0,1,0,0,0
2026-W32,agi-here,2,2,2,0,0.204,0.099,0.148,0.26,0,1,1,0,0,0,0,0,0,0
2026-W32,ai-alignment-confidence,4,4,4,0,0.3985,0.117,0.2882,0.482,0,0,1,0,2,1,0,0,0,0
2026-W32,ai-benefit-distribution,2,2,2,0,0.6945,0.0431,0.6701,0.7189,0,0,0,0,0,0,1,1,0,0
2026-W32,ai-current-alignment,4,4,4,0,0.4025,0.0272,0.3764,0.4242,0,0,0,1,3,0,0,0,0,0
2026-W32,ai-development-speed,5,5,5,0,0.5624,0.0909,0.5,0.6648,0,0,0,0,0,3,1,1,0,0
2026-W32,ai-humanity-future,3,3,3,0,0.766,0.0303,0.7414,0.7838,0,0,0,0,0,0,0,3,0,0
2026-W32,ai-jobs,3,3,3,0,0.4017,0.216,0.2232,0.5408,0,1,0,0,0,2,0,0,0,0
2026-W32,ai-lift-or-leave-behind,4,4,4,0,0.8652,0.1015,0.7706,0.9561,0,0,0,0,0,0,0,1,1,2
2026-W32,ai-money,1,1,1,0,0.007,0,0.007,0.007,1,0,0,0,0,0,0,0,0,0
2026-W32,ai-optimist,8,8,8,0,0.3625,0.2194,0.1533,0.5913,1,0,2,2,1,1,0,1,0,0
2026-W32,ai-regulation,1,1,1,0,0.545,0,0.545,0.545,0,0,0,0,0,1,0,0,0,0
2026-W32,ai-tempo,2,2,2,0,0.4095,0.0375,0.3883,0.4307,0,0,0,1,1,0,0,0,0,0
2026-W32,anthropic-mandate,2,2,2,0,0.3355,0.2425,0.1983,0.4727,0,1,0,0,0,1,0,0,0,0
2026-W32,beyond-physical,3,3,3,0,0.7603,0.3441,0.4822,0.959,0,0,0,1,0,0,0,0,0,2
2026-W32,burnout,3,3,3,0,0.2143,0.2575,0.0286,0.4286,1,1,0,0,0,1,0,0,0,0
2026-W32,care-for-parents,3,3,3,0,0.6437,0.3539,0.3568,0.8504,0,0,1,0,0,0,0,0,2,0
2026-W32,chatgpt-chad,1,1,1,0,0.19,0,0.19,0.19,0,1,0,0,0,0,0,0,0,0
2026-W32,climate-income,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2026-W32,climate-support-perception,1,1,1,0,0.617,0,0.617,0.617,0,0,0,0,0,0,1,0,0,0
2026-W32,climate-worry-perception,5,5,5,0,0.6054,0.1701,0.4418,0.7722,0,0,0,0,1,1,2,0,1,0
2026-W32,college-end,2,2,2,0,0.809,0.1655,0.7154,0.9026,0,0,0,0,0,0,1,0,0,1
2026-W32,college-recommend-2026,4,4,4,0,0.5743,0.5059,0.0894,0.9997,1,0,1,0,0,0,0,0,0,2
2026-W32,college-worth,2,2,2,0,0.75,0.3536,0.55,0.95,0,0,0,0,0,1,0,0,0,1
2026-W32,cursor-coded,1,1,1,0,0.8,0,0.8,0.8,0,0,0,0,0,0,0,0,1,0
2026-W32,division-source,6,6,6,0,0.673,0.1598,0.5015,0.8065,0,0,0,1,0,0,2,2,1,0
2026-W32,emergency-expense-perception,4,4,4,0,0.2582,0.2517,0.0633,0.4882,1,0,2,0,0,0,1,0,0,0
2026-W32,fable-chad,3,3,3,0,0.744,0.3406,0.4616,0.9688,0,0,0,1,0,0,0,0,1,1
2026-W32,fable-coded,1,1,1,0,0.158,0,0.158,0.158,0,1,0,0,0,0,0,0,0,0
2026-W32,free-expression-perception,2,2,2,0,0.88,0.1358,0.8032,0.9568,0,0,0,0,0,0,0,1,0,1
2026-W32,generational-finances,2,2,2,0,0.754,0.256,0.6092,0.8988,0,0,0,0,0,1,0,0,0,1
2026-W32,grok-chad,1,1,1,0,0.121,0,0.121,0.121,0,1,0,0,0,0,0,0,0,0
2026-W32,grok-coded,1,1,1,0,0.6,0,0.6,0.6,0,0,0,0,0,0,1,0,0,0
2026-W32,gun-laws,3,3,3,0,0.5063,0.0797,0.444,0.5712,0,0,0,0,1,2,0,0,0,0
2026-W32,history-classes,1,1,1,0,0.553,0,0.553,0.553,0,0,0,0,0,1,0,0,0,0
2026-W32,home-worth,4,4,4,0,0.1842,0.1066,0.0816,0.2643,1,1,2,0,0,0,0,0,0,0
2026-W32,household-basics,4,4,4,0,0.4572,0.212,0.2522,0.5929,0,1,0,0,0,3,0,0,0,0
2026-W32,how-vibe-coded-is-this-project-26c19f,1,1,1,0,0.979,0,0.979,0.979,0,0,0,0,0,0,0,0,0,1
2026-W32,immigration-status,2,2,2,0,0.75,0.3536,0.55,0.95,0,0,0,0,0,1,0,0,0,1
2026-W32,is-it-good-that-americans-tax-dc3991,1,1,1,0,0.615,0,0.615,0.615,0,0,0,0,0,0,1,0,0,0
2026-W32,job-identity,3,3,3,0,0.786,0.0576,0.7488,0.8336,0,0,0,0,0,0,0,2,1,0
2026-W32,kids-social,2,2,2,0,0.0405,0.0573,0.0081,0.0729,2,0,0,0,0,0,0,0,0,0
2026-W32,known-by-others,3,3,3,0,0.656,0.0564,0.6098,0.6906,0,0,0,0,0,1,2,0,0,0
2026-W32,labubu,2,2,2,0,0.1595,0.2256,0.0319,0.2871,1,0,0,1,0,0,0,0,0,0
2026-W32,life-without-short-video,4,4,4,0,0.786,0.1123,0.6822,0.8586,0,0,0,0,0,0,1,0,3,0
2026-W32,llm-smarter,1,1,1,0,0.401,0,0.401,0.401,0,0,0,0,1,0,0,0,0,0
2026-W32,local-police,4,4,4,0,0.9117,0.0727,0.8481,0.9748,0,0,0,0,0,0,0,0,1,3
2026-W32,loneliness-perception,4,4,4,0,0.389,0.2387,0.2543,0.6089,0,0,3,0,0,0,0,1,0,0
2026-W32,luck-or-effort,4,4,4,0,0.5893,0.1095,0.5,0.6967,0,0,0,0,0,2,1,1,0,0
2026-W32,mandate-openai-anthropic,2,2,2,0,0.489,0.3437,0.2946,0.6834,0,0,1,0,0,0,0,1,0,0
2026-W32,medical-bill,5,5,5,0,0.0566,0.0877,0,0.1458,4,0,1,0,0,0,0,0,0,0
2026-W32,official-numbers-trust,5,5,5,0,0.4238,0.3298,0.1458,0.7682,0,2,0,1,0,1,0,0,0,1
2026-W32,online-gambling,3,3,3,0,0.3097,0.5243,0.0028,0.7348,2,0,0,0,0,0,0,0,0,1
2026-W32,online-self-censorship,2,2,2,0,0.2,0.1315,0.1256,0.2744,0,1,1,0,0,0,0,0,0,0
2026-W32,openai-mandate,1,1,1,0,0.281,0,0.281,0.281,0,0,1,0,0,0,0,0,0,0
2026-W32,opensource-gap,1,1,1,0,0.689,0,0.689,0.689,0,0,0,0,0,0,1,0,0,0
2026-W32,our-next-group-trip-should-be-4ab42a,2,2,2,0,0.2025,0.1054,0.1429,0.2621,0,1,1,0,0,0,0,0,0,0
2026-W32,perceived-extremism,3,3,3,0,0.3493,0.2277,0.2126,0.535,0,0,2,0,0,0,1,0,0,0
2026-W32,pitbulls,2,2,2,0,0.189,0.2489,0.0482,0.3298,1,0,0,1,0,0,0,0,0,0
2026-W32,porn-addictive,2,2,2,0,0.8225,0.251,0.6805,0.9645,0,0,0,0,0,0,1,0,0,1
2026-W32,porn-healthy,2,2,2,0,0.265,0.1923,0.1562,0.3738,0,1,0,0,1,0,0,0,0,0
2026-W32,porn-society,3,3,3,0,0.0903,0.0811,0.0228,0.1484,1,2,0,0,0,0,0,0,0,0
2026-W32,prediction-markets,2,2,2,0,0.931,0.0806,0.8854,0.9766,0,0,0,0,0,0,0,0,1,1
2026-W32,prison-purpose,2,2,2,0,0.5425,0.1605,0.4517,0.6333,0,0,0,0,1,0,1,0,0,0
2026-W32,relationship-privacy,4,4,4,0,0.2875,0.2142,0.1347,0.4935,0,2,1,0,0,1,0,0,0,0
2026-W32,rootedness,2,2,2,0,0.447,0.2022,0.3326,0.5614,0,0,0,1,0,1,0,0,0,0
2026-W32,rural-urban,15,15,15,0,0.7075,0.1765,0.5364,0.876,0,0,1,0,0,3,2,3,5,1
2026-W32,singularity-here,1,1,1,0,0.375,0,0.375,0.375,0,0,0,1,0,0,0,0,0,0
2026-W32,social-healthy,3,3,3,0,0.3067,0.077,0.2452,0.3684,0,0,1,2,0,0,0,0,0,0
2026-W32,social-life-comparison,4,4,4,0,0.5978,0.1651,0.5,0.7545,0,0,0,0,0,3,0,0,1,0
2026-W32,social-neuro,4,4,4,0,0.3208,0.1984,0.1971,0.507,0,1,2,0,0,0,1,0,0,0
